Vendor,CVE,Year,Month,Severity,CVSS_Score,CWE_ID
Huawei,CVE-2017-0872,2017,12,Critical,9.3,20
Huawei,CVE-2017-0878,2017,12,Critical,9.3,20
Huawei,CVE-2015-3868,2017,12,Critical,10,119
Huawei,CVE-2017-6211,2017,12,Critical,10,119
Huawei,CVE-2017-13151,2017,12,Critical,9.3,264
Huawei,CVE-2017-13160,2017,12,Critical,10,264
Huawei,CVE-2017-0837,2017,12,High,7.2,264
Huawei,CVE-2017-0870,2017,12,High,7.2,264
Huawei,CVE-2017-0873,2017,12,High,7.1,20
Huawei,CVE-2017-0874,2017,12,High,7.1,20
Huawei,CVE-2017-0879,2017,12,High,8.5,200
Huawei,CVE-2017-0880,2017,12,High,7.1,264
Huawei,CVE-2017-7533,2017,12,High,6.9,362
Huawei,CVE-2017-13148,2017,12,High,7.1,20
Huawei,CVE-2017-13149,2017,12,High,8.5,200
Huawei,CVE-2017-13150,2017,12,High,8.5,200
Huawei,CVE-2017-13156,2017,12,High,7.2,264
Huawei,CVE-2017-13157,2017,12,High,7.8,200
Huawei,CVE-2017-13158,2017,12,High,7.8,200
Huawei,CVE-2017-13159,2017,12,High,7.8,200
Huawei,CVE-2017-13167,2017,12,High,7.2,264
Huawei,CVE-2017-13174,2017,12,High,7.2,264
Huawei,CVE-2017-14897,2017,12,High,7.2,119
Huawei,CVE-2017-8244,2017,12,Medium,6.9,119
Huawei,CVE-2017-9700,2017,12,Medium,4.6,119
Huawei,CVE-2017-9703,2017,12,Medium,4.4,416
Huawei,CVE-2017-9710,2017,12,Medium,4.6,119
Huawei,CVE-2017-9722,2017,12,Medium,4.6,119
Huawei,CVE-2017-11016,2017,12,Medium,4.6,264
Huawei,CVE-2017-11030,2017,12,Medium,4.6,264
Huawei,CVE-2017-11031,2017,12,Medium,5,416
Huawei,CVE-2017-11033,2017,12,Medium,4.6,416
Huawei,CVE-2017-11044,2017,12,Medium,4.4,416
Huawei,CVE-2017-11045,2017,12,Medium,4.4,416
Huawei,CVE-2017-11049,2017,12,Medium,4.4,119
Huawei,CVE-2017-13152,2017,12,Medium,5,200
Huawei,CVE-2017-13161,2017,12,Medium,4.6,264
Huawei,CVE-2017-13163,2017,12,Medium,4.6,264
Huawei,CVE-2017-13165,2017,12,Medium,4.6,264
Huawei,CVE-2017-13168,2017,12,Medium,4.6,264
Huawei,CVE-2017-13169,2017,12,Medium,5,200
Huawei,CVE-2017-14905,2017,12,Medium,5,119
Huawei,CVE-2017-15813,2017,12,Medium,7.5,119
Huawei,CVE-2017-15868,2017,12,Medium,7.2,264
Huawei,CVE-2017-1000380,2017,12,Medium,2.1,200
Huawei,CVE-2017-13177,2018,1,Critical,10,119
Huawei,CVE-2017-13178,2018,1,Critical,10,787
