Vendor,CVE,Year,Month,Severity,CVSS_Score,CWE_ID
LG,CVE-2019-2308,2019,8,Critical,7.2,264
LG,CVE-2019-2330,2019,8,Critical,4.9,20
LG,CVE-2019-2254,2019,8,Critical,7.5,200
LG,CVE-2019-2130,2019,8,Critical,10,704
LG,CVE-2017-13177,2019,8,Critical,10,119
LG,CVE-2019-10539,2019,8,Critical,,
LG,CVE-2019-10540,2019,8,Critical,,
LG,CVE-2019-2276,2019,8,High,10,125
LG,CVE-2019-2305,2019,8,High,7.5,125
LG,CVE-2019-2278,2019,8,High,7.2,287
LG,CVE-2019-2307,2019,8,High,10,125
LG,CVE-2019-2326,2019,8,High,7.2,129
LG,CVE-2019-2328,2019,8,High,7.2,119
LG,CVE-2019-2235,2019,8,High,4.6,119
LG,CVE-2019-2236,2019,8,High,2.1,476
LG,CVE-2019-2237,2019,8,High,2.1,388
LG,CVE-2019-2238,2019,8,High,4.6,125
LG,CVE-2019-2239,2019,8,High,2.1,20
LG,CVE-2019-2240,2019,8,High,2.1,388
LG,CVE-2019-2241,2019,8,High,2.1,20
LG,CVE-2019-2346,2019,8,High,7.2,129
LG,CVE-2019-2120,2019,8,High,7.2,264
LG,CVE-2019-2121,2019,8,High,6.9,362
LG,CVE-2019-2122,2019,8,High,6.9,264
LG,CVE-2019-2126,2019,8,High,9.3,415
LG,CVE-2019-2128,2019,8,High,7.2,264
LG,CVE-2019-2129,2019,8,High,4.3,125
LG,CVE-2019-2131,2019,8,High,9.3,264
LG,CVE-2019-2132,2019,8,High,9.3,264
LG,CVE-2019-2133,2019,8,High,9.3,787
LG,CVE-2019-2134,2019,8,High,9.3,190
LG,CVE-2019-2135,2019,8,High,7.1,125
LG,CVE-2019-2136,2019,8,High,4.9,125
LG,CVE-2019-2137,2019,8,High,4.9,20
LG,CVE-2017-13279,2019,8,High,4.3,399
LG,CVE-2019-2294,2019,8,High,,
LG,CVE-2019-10538,2019,8,High,,
LG,CVE-2019-2125,2019,8,Medium,4.4,264
LG,CVE-2018-9350,2019,8,Medium,,
LG,CVE-2019-2279,2019,7,Critical,7.5,119
LG,CVE-2019-2287,2019,7,Critical,7.5,787
LG,CVE-2019-2269,2019,7,Critical,7.5,119
LG,CVE-2018-13924,2019,7,Critical,10,119
LG,CVE-2018-13927,2019,7,Critical,7.2,287
LG,CVE-2019-2252,2019,7,Critical,,
LG,CVE-2019-2106,2019,7,Critical,9.3,787
LG,CVE-2019-2107,2019,7,Critical,9.3,787
LG,CVE-2019-2109,2019,7,Critical,9.3,787
LG,CVE-2019-2111,2019,7,Critical,7.5,416
LG,CVE-2018-9526,2019,7,High,5,200
LG,CVE-2019-2101,2019,7,High,4.9,125
LG,CVE-2019-2260,2019,7,High,6.9,362
LG,CVE-2019-2292,2019,7,High,4.6,119
LG,CVE-2018-13896,2019,7,High,7.2,284
LG,CVE-2019-2261,2019,7,High,4.9,16
LG,CVE-2019-2104,2019,7,High,2.1,200
LG,CVE-2019-2105,2019,7,High,6.8,119
LG,CVE-2019-2112,2019,7,High,7.2,416
LG,CVE-2019-2113,2019,7,High,2.1,264
LG,CVE-2019-2116,2019,7,High,5,125
LG,CVE-2019-2117,2019,7,High,2.1,200
LG,CVE-2019-2118,2019,7,High,2.1,200
LG,CVE-2019-2119,2019,7,High,2.1,200
LG,CVE-2018-5912,2019,6,Critical,7.2,119
LG,CVE-2018-13898,2019,6,Critical,7.5,787
LG,CVE-2019-2255,2019,6,Critical,10,119
LG,CVE-2019-2256,2019,6,Critical,10,119
LG,CVE-2019-2093,2019,6,Critical,9.3,787
LG,CVE-2019-2094,2019,6,Critical,9.3,787
LG,CVE-2019-2095,2019,6,Critical,7.6,362
LG,CVE-2019-2097,2019,6,Critical,10,704
LG,CVE-2018-19860,2019,6,High,5.8,264
LG,CVE-2018-11955,2019,6,High,7.5,125
LG,CVE-2018-13919,2019,6,High,7.2,416
LG,CVE-2018-13902,2019,6,High,5,129
LG,CVE-2018-13906,2019,6,High,6.4,20
LG,CVE-2018-13907,2019,6,High,5,119
LG,CVE-2018-13908,2019,6,High,4.6,285
LG,CVE-2018-13909,2019,6,High,6.9,362
LG,CVE-2018-13910,2019,6,High,7.2,125
LG,CVE-2018-13911,2019,6,High,10,125
LG,CVE-2018-5913,2019,6,High,7.2,310
LG,CVE-2019-2257,2019,6,High,7.2,264
LG,CVE-2019-2259,2019,6,High,10,400
LG,CVE-2019-2090,2019,6,High,4.6,275
LG,CVE-2019-2091,2019,6,High,7.2,264
LG,CVE-2019-2092,2019,6,High,7.2,264
LG,CVE-2019-2096,2019,6,High,7.2,415
LG,CVE-2019-2102,2019,6,High,8.3,264
LG,CVE-2019-2098,2019,6,High,7.2,264
LG,CVE-2019-2099,2019,6,High,9.3,787
LG,CVE-2019-2054,2019,6,Medium,4.6,264
LG,CVE-2019-2029,2019,5,Critical,6.8,416
LG,CVE-2018-11940,2019,5,Critical,10,119
LG,CVE-2018-11976,2019,5,Critical,4.9,310
LG,CVE-2018-12004,2019,5,Critical,4.9,200
LG,CVE-2018-13886,2019,5,Critical,10,190
LG,CVE-2018-13887,2019,5,Critical,10,190
LG,CVE-2019-2250,2019,5,Critical,7.2,20
LG,CVE-2019-2044,2019,5,Critical,9.3,787
LG,CVE-2019-2045,2019,5,Critical,10,787
LG,CVE-2019-2046,2019,5,Critical,10,190
